	022um-Control	20210602-MA-ABB1F	20210602-MA-ABB1P	20210602-MA-ABB1W	20210602-MA-ABS1F	20210602-MA-ABS1P	20210602-MA-ABS1W	20210602-MA-CEB1F	20210602-MA-CEB1P	20210602-MA-CEB1W	20210602-MA-CES1F	20210602-MA-CES1P	20210602-MA-CES1W	20210602-MA-CWB1F	20210602-MA-CWB1P	20210602-MA-CWB1W	20210602-MA-CWS1F	20210602-MA-CWS1P	20210602-MA-CWS1W	20210602-MA-MBB1F	20210602-MA-MBB1P	20210602-MA-MBB1W	20210602-MA-MBS1F	20210602-MA-MBS1P	20210602-MA-MBS1W	20210602-MA-SCB1F	20210602-MA-SCB1P	20210602-MA-SCB1W	20210602-MA-SCS1F	20210602-MA-SCS1P	20210602-MA-SCS1W	20210615-MA-ABB2F	20210615-MA-ABB2P	20210615-MA-ABB2W	20210615-MA-ABS1F	20210615-MA-ABS1P	20210615-MA-ABS1W	20210615-MA-CEB1F	20210615-MA-CEB1P	20210615-MA-CEB1W	20210615-MA-CES1F	20210615-MA-CES1P	20210615-MA-CES1W	20210615-MA-CWB1F	20210615-MA-CWB1P	20210615-MA-CWB1W	20210615-MA-CWS1F	20210615-MA-CWS1P	20210615-MA-CWS1W	20210615-MA-MBB1F	20210615-MA-MBB1P	20210615-MA-MBB1W	20210615-MA-MBS1F	20210615-MA-MBS1P	20210615-MA-MBS1W	20210615-MA-SCB2F	20210615-MA-SCB2P	20210615-MA-SCB2W	20210615-MA-SCS2F	20210615-MA-SCS2P	20210615-MA-SCS2W	20211005-MA-ABB2F	20211005-MA-ABB2P	20211005-MA-ABB2W	20211005-MA-ABS1F	20211005-MA-ABS1P	20211005-MA-ABS1W	20211005-MA-CEB1F	20211005-MA-CEB1P	20211005-MA-CEB1W	20211005-MA-CES2F	20211005-MA-CES2P	20211005-MA-CES2W	20211005-MA-CWB1F	20211005-MA-CWB1P	20211005-MA-CWB1W	20211005-MA-CWS1F	20211005-MA-CWS1P	20211005-MA-CWS1W	20211005-MA-MBB1F	20211005-MA-MBB1P	20211005-MA-MBB1W	20211005-MA-MBS1F	20211005-MA-MBS1P	20211005-MA-MBS1W	20211005-MA-SCB1F	20211005-MA-SCB1P	20211005-MA-SCB1W	20211005-MA-SCS2F	20211005-MA-SCS2P	20211005-MA-SCS2W	3um-Control	CJ-V08-P	DNA-Ext-Control	MockZymoPos	WaterControl
ASV_31	0	33	15	35	24	0	22	23	95	33	12	0	9	0	0	0	0	0	0	33	15	27	32	9	32	37	11	64	47	16	20	0	0	74	36	24	26	20	17	22	19	9	13	7	9	4	10	0	0	40	17	22	27	20	37	0	0	0	0	0	0	51	13	67	41	8	50	77	43	136	16	8	16	6	0	0	0	0	0	50	18	43	26	15	42	125	74	10	123	26	114	0	15	0	0	0
ASV_32	0	31	21	39	33	16	23	0	112	0	0	0	0	0	0	0	0	0	0	105	33	54	80	61	59	63	11	85	73	11	39	34	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	48	44	47	45	0	23	85	81	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	42	35	0	52	147	46	0	137	31	131	0	0	0	0	0
ASV_33	0	24	12	17	18	20	18	0	141	0	0	0	0	0	0	0	0	0	0	36	19	13	25	22	34	69	23	63	108	113	77	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	0	13	0	0	0	148	104	56	56	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	186	0	153	238	150	0	15	0	0	0
ASV_34	0	27	13	38	33	21	28	42	0	41	52	13	41	37	45	43	0	0	11	54	14	13	40	0	31	0	0	7	0	0	0	16	0	43	38	17	44	55	28	63	58	34	48	38	57	43	68	42	61	25	21	27	38	10	41	0	0	8	0	0	0	32	0	40	43	10	41	24	19	31	47	27	22	16	13	0	0	0	12	42	17	50	38	19	35	7	0	17	0	3	0	0	0	0	0	0
ASV_35	0	0	0	0	0	0	50	28	0	0	76	13	0	77	73	56	29	0	31	0	0	0	0	0	0	0	0	11	0	0	0	0	0	23	21	0	0	82	42	76	79	25	67	59	85	62	68	46	68	44	0	0	0	22	0	0	0	0	0	0	0	36	8	33	30	4	20	27	22	38	62	18	48	68	43	39	82	37	53	21	13	36	20	20	29	0	0	13	0	0	0	0	0	0	0	0
ASV_36	0	8	37	25	12	58	51	0	60	0	0	0	0	0	0	0	0	0	0	15	97	46	20	48	46	0	77	41	14	85	31	0	90	38	5	103	13	0	0	0	0	0	0	0	0	0	0	0	0	7	35	0	0	51	23	0	0	0	0	0	18	0	144	0	0	92	29	0	26	21	0	0	0	0	0	0	0	0	0	14	84	14	0	27	17	11	103	15	10	322	12	0	0	0	0	0
ASV_37	0	4	3	5	12	0	7	53	0	51	68	32	59	13	19	27	31	17	38	15	0	3	5	0	4	0	0	0	0	0	0	0	0	6	11	8	3	27	18	31	38	11	19	38	38	34	44	33	29	41	40	31	32	26	36	0	0	0	0	0	0	62	41	43	54	28	47	41	27	62	70	38	47	0	0	0	0	0	0	66	56	112	65	45	83	0	0	39	0	0	0	0	0	0	0	0
ASV_38	0	22	28	75	36	33	62	63	9	54	41	10	32	24	18	42	0	0	0	65	29	64	70	37	63	0	0	0	37	0	20	5	5	84	42	21	49	30	28	30	20	14	21	11	20	23	21	19	20	88	39	64	49	35	86	0	0	0	0	0	0	20	0	12	12	0	6	11	0	26	8	0	9	0	0	0	3	0	0	26	0	29	22	11	22	0	0	25	8	12	0	0	0	0	0	0
ASV_39	0	12	10	10	10	14	11	14	0	23	34	54	32	12	30	28	0	0	0	9	0	8	13	9	9	0	10	0	10	16	0	76	16	14	13	34	21	30	30	28	26	73	31	14	29	20	18	22	26	9	11	7	0	12	14	0	0	0	0	0	0	38	86	61	41	90	44	35	63	53	44	44	26	0	0	0	0	0	0	70	82	64	33	53	71	0	0	57	0	0	0	0	10	0	0	0
ASV_40	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	71	69	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	64	65	0	92	34	21	38	53	20	30	91	54	91	0	0	0	0	0	0	0	0	0	38	34	60	0	0	74	187	104	0	115	109	154	0	0	0	0	0
